id_entreprise,id_secteur,nom_entreprise,taille,categorie,siege_social,pays
136,15,NVIDIA,Plus de 10 000 employés,Multinationale,Santa Clara CA,États-Unis
144,1,2S2I Solutions & Services,De 51 à 200 employés,PME,Montpellier,France
150,11,CALIDA Group,Inconnu,Inconnu,Sursee,Suisse
151,1,Atos-Syntel,Plus de 10 000 employés,Multinationale,Troy MI,États-Unis
156,11,ALTRAD Group,De 1 001 à 5 000 employés,Grande entreprise,Montpellier,France
163,11,Sanofi Pasteur,Inconnu,Inconnu,,France
170,35,Altran Engineering Solution,De 501 à 1 000 employés,Moyenne entreprise,Nice,France
171,11,Crédit Agricole,Inconnu,Inconnu,Paris,France
178,8,Altran North America,Plus de 10 000 employés,Multinationale,New York NY,États-Unis
181,11,Mixt Composites Recyclables,Inconnu,Inconnu,Tournon-sur-Rhône,France
193,35,Sephora,Plus de 10 000 employés,Multinationale,San Francisco CA,États-Unis
200,19,LVMH,Plus de 10 000 employés,Multinationale,Paris,France
209,20,Statkraft AS,Entre 201 et 500 employés,ETI,Oslo,Norvège
213,2,Sparklane,De 1 à 50 employés,TPE,Paris,France
220,3,Atos Medical,De 51 à 200 employés,PME,New Berlin WI,États-Unis
221,18,Manpower,De 5 001 à 10 000 employés,Très grande entreprise,Uxbridge Angleterre,Royaume-Uni
225,9,ITS,De 1 à 50 employés,TPE,Burnaby BC,Canada
226,1,ITS Group,De 1 001 à 5 000 employés,Grande entreprise,Boulogne-Billancourt,France
227,34,Loria,De 501 à 1 000 employés,Moyenne entreprise,Vandoeuvre,France
228,36,ITS Overlap,Entre 201 et 500 employés,ETI,Nanterre,France
229,18,Canon ITS,Entre 201 et 500 employés,ETI,Chesapeake VA,États-Unis
230,1,Groupe SII,De 1 001 à 5 000 employés,Grande entreprise,Paris,France
231,1,Sii Poland,De 1 001 à 5 000 employés,Grande entreprise,Varsovie,Pologne
232,11,cerema,De 1 001 à 5 000 employés,Grande entreprise,Bron,France
233,11,Paris Inn Group,De 501 à 1 000 employés,Moyenne entreprise,Paris,France
234,15,Dassault Systemes,Plus de 10 000 employés,Multinationale,Vélizy,France
235,11,Groupe Altice Média,De 501 à 1 000 employés,Moyenne entreprise,Paris,France
237,13,Logware,Entre 201 et 500 employés,ETI,Paris,France
238,33,Fortuneo SA,Entre 201 et 500 employés,ETI,Paris,France
239,37,Teads,De 501 à 1 000 employés,Moyenne entreprise,Luxembourg,Luxembourg
240,15,Datadog,De 1 001 à 5 000 employés,Grande entreprise,New York NY,États-Unis
241,38,CELINE,De 1 001 à 5 000 employés,Grande entreprise,Paris,France
242,18,SolidWorks,De 501 à 1 000 employés,Moyenne entreprise,Waltham MA,États-Unis
243,18,Les Echos,Entre 201 et 500 employés,ETI,Paris,France
244,18,Kendo,Entre 201 et 500 employés,ETI,San Francisco CA,États-Unis
245,9,Sanofi,Plus de 10 000 employés,Multinationale,Paris,France
247,39,Merial,De 1 001 à 5 000 employés,Grande entreprise,Harlow Angleterre,Royaume-Uni
248,40,Groupe Crédit Agricole,De 5 001 à 10 000 employés,Très grande entreprise,Montrouge,France
249,33,Groupe Crédit Agricole du Maroc,De 501 à 1 000 employés,Moyenne entreprise,Rabat,Maroc
250,35,CACIB,De 5 001 à 10 000 employés,Très grande entreprise,Paris,France
251,11,Crédit Agricole d'Ile de France,De 1 001 à 5 000 employés,Grande entreprise,Paris,France
252,11,Crédit Agricole d'Aquitaine,De 1 001 à 5 000 employés,Grande entreprise,Bordeaux,France
254,15,Lectra,De 1 001 à 5 000 employés,Grande entreprise,Paris,France
255,1,Sopra Steria,Plus de 10 000 employés,Multinationale,Annecy-le-Vieux,France
256,18,Sopra Steria Recruitment,De 51 à 200 employés,PME,Reading Angleterre,Royaume-Uni
257,1,CITECH,De 51 à 200 employés,PME,Paris,France
258,1,Group Adaming,De 501 à 1 000 employés,Moyenne entreprise,Paris,France
259,13,Micropole,De 1 001 à 5 000 employés,Grande entreprise,Levallois-Perret,France
260,11,alptis assurances,Entre 201 et 500 employés,ETI,Lyon,France
261,11,Plastic Omnium,De 1 001 à 5 000 employés,Grande entreprise,Levallois-Perret,France
262,1,2S2I,Entre 201 et 500 employés,Multinationale,Asnières-sur-Seine,France
263,36,2s2i Groupe,Entre 201 et 500 employés,Multinationale,Asnières-sur-Seine,France
264,12,ADD UP,De 51 à 200 employés,Moyenne entreprise,Paris,France
265,1,ADERLY / Invest in Lyon,Entre 201 et 500 employés,Grande entreprise,Nyon,Suisse
266,20,AKKA Tech,De 5 001 à 10 000 employés,Multinationale,Tassin,France
267,30,ALTIVIEW,Inconnu,Multinationale,Gothenburg,Suède
268,13,AVISTO,Inconnu,Grande entreprise,Gothenburg,Suède
269,19,AXA en France,De 501 à 1 000 employés,PME,Eysines,France
270,1,Acadomia,Entre 201 et 500 employés,ETI,Waterloo ON,Canada
271,3,Adsearch SAS,De 1 à 50 employés,Grande entreprise,Paris,France
272,1,Adthink,De 1 001 à 5 000 employés,Moyenne entreprise,Tassin,France
273,29,Alithya,De 1 001 à 5 000 employés,TPE,Boulogne-Billancourt,France
274,4,Alptis,Plus de 10 000 employés,Multinationale,Montrouge,France
275,13,Alteca,De 1 à 50 employés,Inconnu,Écully,France
276,1,Altran Group,Plus de 10 000 employés,Moyenne entreprise,Montpellier,France
277,34,Amiltone,De 51 à 200 employés,Moyenne entreprise,Eysines,France
278,32,AnotherBrain,Entre 201 et 500 employés,TPE,Paris,France
279,11,Approach People Recruitment,Plus de 10 000 employés,Inconnu,Bezons,France
280,15,Asigma,Plus de 10 000 employés,Inconnu,Londres Angleterre,Royaume-Uni
281,15,Aubay France,De 501 à 1 000 employés,PME,Courcouronnes,France
282,11,Awalee Consulting,Entre 201 et 500 employés,TPE,Nyon,Suisse
283,1,Axande,De 1 001 à 5 000 employés,Moyenne entreprise,Greensboro NC,États-Unis
284,33,Axway,De 1 001 à 5 000 employés,Grande entreprise,Levallois-Perret,France
285,20,BIAL-R,De 501 à 1 000 employés,Grande entreprise,New York NY,États-Unis
286,1,BIOASTER,De 501 à 1 000 employés,Grande entreprise,Montigny,France
287,1,BNP Paribas Personal Finance,De 5 001 à 10 000 employés,Grande entreprise,Gothenburg,Suède
288,9,Baldwin Partners,De 51 à 200 employés,Moyenne entreprise,Waltham MA,États-Unis
289,2,"Banco Cetelem, BNP Paribas Personal Finance",Plus de 10 000 employés,Inconnu,Gothenburg,Suède
290,8,BeMore Holding,De 51 à 200 employés,Multinationale,Viroflay,France
291,15,Blue Talent,De 501 à 1 000 employés,Grande entreprise,Rennes,France
292,18,Business Activ,De 1 001 à 5 000 employés,ETI,Hong Kong,Hong Kong
293,10,C3.ai,Plus de 10 000 employés,PME,Paris,France
294,23,CACIIS,Plus de 10 000 employés,ETI,Paris,France
295,37,CEGEDIM SRH,Plus de 10 000 employés,ETI,Boulogne-Billancourt,France
296,13,CELAD,Plus de 10 000 employés,PME,Paris,France
297,35,CHU de Bordeaux,De 501 à 1 000 employés,Grande entreprise,Waterloo ON,Canada
298,11,CNS Communications,De 1 001 à 5 000 employés,Multinationale,Gothenburg,Suède
299,1,Carriere-info.fr,De 5 001 à 10 000 employés,ETI,New Berlin WI,États-Unis
300,11,Catalina France,De 51 à 200 employés,PME,New Orleans LA,États-Unis
301,6,Clustree,Iconnu,Multinationale,Oslo,Norvège
302,30,Contentsquare,De 501 à 1 000 employés,ETI,Zurich,Suisse
303,3,Criteo,De 1 001 à 5 000 employés,Multinationale,Écully,France
304,15,DATALAKE,Entre 201 et 500 employés,ETI,Luxembourg,Luxembourg
305,11,DCS EASYWARE,De 1 à 50 employés,Moyenne entreprise,Paris,France
306,35,DTA INGENIERIE MEDITERRANEE,De 5 001 à 10 000 employés,Multinationale,Roubaix,France
307,4,Danem Group,De 51 à 200 employés,Multinationale,Neuilly,France
308,32,Danem People Group - Engineering & Technology Recruitment Specialists,Entre 201 et 500 employés,Multinationale,Montpellier,France
309,18,Datatorii,Entre 201 et 500 employés,TPE,Levallois-Perret,France
310,10,Davidson consulting,De 501 à 1 000 employés,Multinationale,Nyon,Suisse
311,4,DeciVision,Entre 201 et 500 employés,Multinationale,Nanterre,France
312,13,Deliveroo,Inconnu,Grande entreprise,New York NY,États-Unis
313,8,Doctolib,De 501 à 1 000 employés,Multinationale,Paris,France
314,12,EOLE Consulting,Plus de 10 000 employés,Multinationale,Nyon,Suisse
315,1,EXTERNATIC,De 1 001 à 5 000 employés,ETI,Levallois-Perret,France
316,11,Euro Protection Surveillance,Plus de 10 000 employés,Grande entreprise,Leverkusen,Allemagne
317,13,Eversa,De 1 001 à 5 000 employés,Moyenne entreprise,Courcouronnes,France
318,3,Everteam,De 1 001 à 5 000 employés,ETI,Levallois-Perret,France
319,1,Everwin,De 1 001 à 5 000 employés,Multinationale,Altrincham Angleterre,Royaume-Uni
320,1,Expectra,Plus de 10 000 employés,Grande entreprise,Paris,France
321,2,FeuVert,Plus de 10 000 employés,Moyenne entreprise,Écully,France
322,33,FinDiT Consulting,De 1 001 à 5 000 employés,Multinationale,Nyon,Suisse
323,15,Fitae,De 1 001 à 5 000 employés,TPE,Hong Kong,Hong Kong
324,32,Flatchr,De 1 001 à 5 000 employés,Grande entreprise,Luxembourg,Luxembourg
325,19,Fortuneo,Inconnu,Grande entreprise,Paris,France
326,11,Fujitsu France,Plus de 10 000 employés,Grande entreprise,Paris,France
327,2,Fédération hospitalière de France (FHF),De 51 à 200 employés,ETI,Sursee,Suisse
328,3,GROUPE M6,Plus de 10 000 employés,Grande entreprise,Paris,France
329,33,Gfi world,De 501 à 1 000 employés,TPE,Londres Angleterre,Royaume-Uni
330,23,Glocomms,De 1 001 à 5 000 employés,Inconnu,Paris,France
331,20,Groupe ADAMING,Inconnu,Très grande entreprise,Paris,France
332,35,Groupe Apsaroke,Inconnu,Très grande entreprise,Rennes,France
333,11,Groupe PSIH,Entre 201 et 500 employés,Multinationale,Paris,France
334,31,Groupe SeLoger,Iconnu,Inconnu,Montréal QC,Canada
335,2,HAVANA IT & APPS,De 1 001 à 5 000 employés,Multinationale,Hambourg,Allemagne
336,16,HUGGA,Plus de 10 000 employés,Multinationale,Leverkusen,Allemagne
337,11,Harnham,Plus de 10 000 employés,PME,Paris,France
338,11,Hermitage Solutions Fr,Inconnu,Inconnu,Luxembourg,Luxembourg
339,1,ICSIS,Plus de 10 000 employés,PME,Reading Angleterre,Royaume-Uni
340,11,ILYEUM,Plus de 10 000 employés,PME,Paris,France
341,16,INGENIANCE,Entre 201 et 500 employés,Grande entreprise,Neuilly,France
342,15,INTITEK,De 501 à 1 000 employés,PME,Lyon,France
343,1,Inria,De 51 à 200 employés,TPE,Londres Angleterre,Royaume-Uni
344,12,Intrum-fr,Plus de 10 000 employés,Multinationale,Paris,France
345,1,JEMS,Plus de 10 000 employés,Grande entreprise,Paris,France
346,34,KOBALTT,Plus de 10 000 employés,Moyenne entreprise,Greensboro NC,États-Unis
347,37,Keyrus,De 501 à 1 000 employés,Très grande entreprise,Gothenburg,Suède
348,12,Kiss The Bride,De 501 à 1 000 employés,Grande entreprise,Rennes,France
349,20,LMACP,De 1 001 à 5 000 employés,TPE,Fullerton CA,États-Unis
350,39,LittleBigCode,De 5 001 à 10 000 employés,Moyenne entreprise,Paris,France
351,1,MFG Labs,De 51 à 200 employés,Très grande entreprise,Paris,France
352,24,Manpower France,Inconnu,PME,Menlo Park CA,États-Unis
353,33,Meritis,De 1 001 à 5 000 employés,TPE,Saint-Fons,France
354,14,MycommunIT,De 51 à 200 employés,Inconnu,Paris,France
355,37,Neosoft Solutions Inc,De 1 001 à 5 000 employés,Multinationale,Paris,France
356,11,Novulys,De 5 001 à 10 000 employés,Multinationale,Paris,France
357,8,Octopeek,Inconnu,Multinationale,Neuilly,France
358,7,Openfield,De 51 à 200 employés,PME,Paris,France
359,34,Openvalue,Entre 201 et 500 employés,Grande entreprise,Paris,France
360,12,Osella Technology,Plus de 10 000 employés,TPE,Asheville NC,États-Unis
361,18,PARIS GROUP,Plus de 10 000 employés,Inconnu,Paris,France
362,3,PERFECTSIGHT,Plus de 10 000 employés,Inconnu,Paris,France
363,11,PRIORITIS Market Access,De 501 à 1 000 employés,TPE,Nyon,Suisse
364,34,Phildar,De 1 001 à 5 000 employés,Inconnu,Rennes,France
365,11,Roamler,De 1 001 à 5 000 employés,PME,Montréal QC,Canada
366,13,SELESCOPE,De 51 à 200 employés,ETI,Paris,France
367,4,SILKHOM - SMART RECRUITMENT,De 1 001 à 5 000 employés,Grande entreprise,Paris,France
368,11,SKF Groupe,De 501 à 1 000 employés,TPE,Altrincham Angleterre,Royaume-Uni
369,13,SOFTEAM Group,De 51 à 200 employés,Moyenne entreprise,Altrincham Angleterre,Royaume-Uni
370,15,Sept Lieues,Entre 201 et 500 employés,ETI,Waterloo ON,Canada
371,11,SmartAdServer,Plus de 10 000 employés,Multinationale,Montréal QC,Canada
372,35,Smile Open Source Solutions,De 1 à 50 employés,ETI,Paris,France
373,13,Smily Rh,Plus de 10 000 employés,Moyenne entreprise,Paris,France
374,11,Societe Generale Corporate and Investment Banking - SGCIB,Plus de 10 000 employés,Moyenne entreprise,Neuilly,France
375,11,SoftAtHome,Entre 201 et 500 employés,Moyenne entreprise,Paris,France
376,9,Sogia Systeme,Plus de 10 000 employés,Grande entreprise,Saint-Fons,France
377,4,Soladis,Inconnu,Multinationale,Montpellier,France
378,14,Solocal,Inconnu,ETI,Sèvres,France
379,36,Squadata,De 501 à 1 000 employés,PME,Waterloo ON,Canada
380,11,Stambia,Inconnu,PME,Hambourg,Allemagne
381,17,Statkraft,Entre 201 et 500 employés,ETI,Oslo,Norvège
382,1,SudOuest RH,De 1 001 à 5 000 employés,ETI,Bron,France
383,18,TALEA consult,De 1 à 50 employés,Grande entreprise,Nyon,Suisse
384,40,TLScontact,Entre 201 et 500 employés,TPE,Courbevoie,France
385,2,TSC,De 51 à 200 employés,PME,Nanterre,France
386,24,TV France International,Inconnu,TPE,Londres Angleterre,Royaume-Uni
387,11,Talea S.r.l.,Entre 201 et 500 employés,Inconnu,New York NY,États-Unis
388,7,Teads.tv,De 1 001 à 5 000 employés,Moyenne entreprise,Luxembourg,Luxembourg
389,12,Team Work,De 51 à 200 employés,ETI,Paris,France
390,4,Umanis,Entre 201 et 500 employés,PME,Fullerton CA,États-Unis
391,9,Université de Bordeaux,De 1 001 à 5 000 employés,ETI,Fullerton CA,États-Unis
392,11,Urban Linker,De 1 001 à 5 000 employés,Grande entreprise,Paris,France
393,19,VINCI Energies,De 51 à 200 employés,PME,New Berlin WI,États-Unis
394,6,Valuetis,Inconnu,Multinationale,Londres Angleterre,Royaume-Uni
395,1,WOM Recruitment,De 1 001 à 5 000 employés,PME,Seattle WA,États-Unis
396,18,WiSH RECRUTEMENT,De 5 001 à 10 000 employés,Grande entreprise,Eysines,France
397,1,Zenly,De 1 001 à 5 000 employés,ETI,Boulogne-Billancourt,France
398,5,aldecis,De 1 001 à 5 000 employés,Multinationale,Bezons,France
399,40,ciorane,De 51 à 200 employés,Multinationale,Paris,France
400,12,rh Studio,Plus de 10 000 employés,Moyenne entreprise,Montpellier,France
