id_entreprise,id_secteur,nom_entreprise,taille,categorie,siege_social,pays
136,15,NVIDIA,Plus de 10 000 employés,Multinationale,Santa Clara CA,États-Unis
144,1,2S2I Solutions & Services,De 51 à 200 employés,PME,Montpellier,France
150,11,CALIDA Group,Inconnu,Inconnu,Sursee,Suisse
151,1,Atos-Syntel,Plus de 10 000 employés,Multinationale,Troy MI,États-Unis
156,11,ALTRAD Group,De 1 001 à 5 000 employés,Grande entreprise,Montpellier,France
163,11,Sanofi Pasteur,Inconnu,Inconnu,,France
170,35,Altran Engineering Solution,De 501 à 1 000 employés,Moyenne entreprise,Nice,France
171,11,Crédit Agricole,Inconnu,Inconnu,Paris,France
178,8,Altran North America,Plus de 10 000 employés,Multinationale,New York NY,États-Unis
181,11,Mixt Composites Recyclables,Inconnu,Inconnu,Tournon-sur-Rhône,France
193,35,Sephora,Plus de 10 000 employés,Multinationale,San Francisco CA,États-Unis
200,19,LVMH,Plus de 10 000 employés,Multinationale,Paris,France
209,20,Statkraft AS,Entre 201 et 500 employés,ETI,Oslo,Norvège
213,2,Sparklane,De 1 à 50 employés,TPE,Paris,France
220,3,Atos Medical,De 51 à 200 employés,PME,New Berlin WI,États-Unis
221,18,Manpower,De 5 001 à 10 000 employés,Très grande entreprise,Uxbridge Angleterre,Royaume-Uni
225,9,ITS,De 1 à 50 employés,TPE,Burnaby BC,Canada
226,1,ITS Group,De 1 001 à 5 000 employés,Grande entreprise,Boulogne-Billancourt,France
227,34,Loria,De 501 à 1 000 employés,Moyenne entreprise,Vandoeuvre,France
228,36,ITS Overlap,Entre 201 et 500 employés,ETI,Nanterre,France
229,18,Canon ITS,Entre 201 et 500 employés,ETI,Chesapeake VA,États-Unis
230,1,Groupe SII,De 1 001 à 5 000 employés,Grande entreprise,Paris,France
231,1,Sii Poland,De 1 001 à 5 000 employés,Grande entreprise,Varsovie,Pologne
232,11,cerema,De 1 001 à 5 000 employés,Grande entreprise,Bron,France
233,11,Paris Inn Group,De 501 à 1 000 employés,Moyenne entreprise,Paris,France
234,15,Dassault Systemes,Plus de 10 000 employés,Multinationale,Vélizy,France
235,11,Groupe Altice Média,De 501 à 1 000 employés,Moyenne entreprise,Paris,France
237,13,Logware,Entre 201 et 500 employés,ETI,Paris,France
238,33,Fortuneo SA,Entre 201 et 500 employés,ETI,Paris,France
239,37,Teads,De 501 à 1 000 employés,Moyenne entreprise,Luxembourg,Luxembourg
240,15,Datadog,De 1 001 à 5 000 employés,Grande entreprise,New York NY,États-Unis
241,38,CELINE,De 1 001 à 5 000 employés,Grande entreprise,Paris,France
242,18,SolidWorks,De 501 à 1 000 employés,Moyenne entreprise,Waltham MA,États-Unis
243,18,Les Echos,Entre 201 et 500 employés,ETI,Paris,France
244,18,Kendo,Entre 201 et 500 employés,ETI,San Francisco CA,États-Unis
245,9,Sanofi,Plus de 10 000 employés,Multinationale,Paris,France
247,39,Merial,De 1 001 à 5 000 employés,Grande entreprise,Harlow Angleterre,Royaume-Uni
248,40,Groupe Crédit Agricole,De 5 001 à 10 000 employés,Très grande entreprise,Montrouge,France
249,33,Groupe Crédit Agricole du Maroc,De 501 à 1 000 employés,Moyenne entreprise,Rabat,Maroc
250,35,CACIB,De 5 001 à 10 000 employés,Très grande entreprise,Paris,France
251,11,Crédit Agricole d'Ile de France,De 1 001 à 5 000 employés,Grande entreprise,Paris,France
252,11,Crédit Agricole d'Aquitaine,De 1 001 à 5 000 employés,Grande entreprise,Bordeaux,France
254,15,Lectra,De 1 001 à 5 000 employés,Grande entreprise,Paris,France
255,1,Sopra Steria,Plus de 10 000 employés,Multinationale,Annecy-le-Vieux,France
256,18,Sopra Steria Recruitment,De 51 à 200 employés,PME,Reading Angleterre,Royaume-Uni
257,1,CITECH,De 51 à 200 employés,PME,Paris,France
258,1,Group Adaming,De 501 à 1 000 employés,Moyenne entreprise,Paris,France
259,13,Micropole,De 1 001 à 5 000 employés,Grande entreprise,Levallois-Perret,France
260,11,alptis assurances,Entre 201 et 500 employés,ETI,Lyon,France
261,11,Plastic Omnium,De 1 001 à 5 000 employés,Grande entreprise,Levallois-Perret,France
